eventId	programId	channel	start	xEnd	description	primeTime
51129904	368160	1	2012-11-25 17:55:00	2012-11-25 18:05:00	...Sat	0
51031212	49651	1	2012-11-25 18:05:00	2012-11-25 20:15:00	Regia di J.Nelson, con	0
51031214	358881	1	2012-11-25 20:15:00	2012-11-25 20:45:00	Uno speciale dedicato al	0
50433556	364069	1	2012-11-25 20:45:00	2012-11-25 21:10:00	Ep.4 - Il magazine di	0
51129908	368159	1	2012-11-25 21:10:00	2012-11-25 21:20:00	&#8230;Satira.&#	0
50433560	364082	1	2012-11-25 21:20:00	2012-11-25 22:05:00	1' Stagione Ep.4 - 'It's	0
50704436	364083	1	2012-11-25 22:05:00	2012-11-25 22:55:00	Ep.4 - 'Good Taste Tastes	0
50704438	359421	1	2012-11-25 22:55:00	2012-11-25 23:40:00	1' Stagione Ep.9 - 'The	0
50704440	237579	1	2012-11-25 23:40:00	2012-11-26 00:30:00	2' Stagione Ep.9 - Il	0
50727316	361505	1	2012-11-26 00:30:00	2012-11-26 03:00:00	Ep.6 - I sei concorrenti	0
51127829	111247	1	2012-11-26 03:00:00	2012-11-26 03:35:00	Ep.26 - L'appuntamento	0
51031216	358881	1	2012-11-26 03:35:00	2012-11-26 04:05:00	Uno speciale dedicato al	0
51031218	364069	1	2012-11-26 04:05:00	2012-11-26 04:30:00	Ep.4 - Il magazine di	0
51127831	177197	1	2012-11-26 04:30:00	2012-11-26 04:55:00	Ep. 4 - Craig Busch e'	0
50433574	346352	1	2012-11-26 04:55:00	2012-11-26 05:25:00	Ep. 11 - Gli sketch piu'	0
50433576	346352	1	2012-11-26 05:25:00	2012-11-26 06:00:00	Ep. 11 - Gli sketch piu'	0
50433578	122523	1	2012-11-26 06:00:00	2012-11-26 06:25:00	2' Stagione Ep.41 - I	0
50433580	177197	1	2012-11-26 06:25:00	2012-11-26 06:50:00	Ep. 3 - Craig Busch e'	0
50433582	177197	1	2012-11-26 06:50:00	2012-11-26 07:20:00	Ep. 4 - Craig Busch e'	0
50433584	228709	1	2012-11-26 07:20:00	2012-11-26 07:55:00	Ep.5 - Il meglio della	0
50433586	362411	1	2012-11-26 07:55:00	2012-11-26 08:20:00	Ep.26 - Alessandro	0
50433588	181483	1	2012-11-26 08:20:00	2012-11-26 09:10:00	7' Stagione Ep.3 - Il	0
50433590	366480	1	2012-11-26 09:10:00	2012-11-26 09:30:00	4' Stagione Ep.3 -	0
50433592	366481	1	2012-11-26 09:30:00	2012-11-26 09:50:00	Ep. 3 - Per mostrare come	0
51127843	358881	1	2012-11-26 09:50:00	2012-11-26 10:00:00	Uno speciale dedicato al	0
50433594	188493	1	2012-11-26 10:00:00	2012-11-26 10:05:00	Ep. 54 - Politica e	0
50433596	170794	1	2012-11-26 10:05:00	2012-11-26 10:55:00	14' Stagione Ep.10 - Tyra	0
50433598	170790	1	2012-11-26 10:55:00	2012-11-26 11:45:00	5' Stagione Ep.6 - 'Good	0
50433600	228709	1	2012-11-26 11:45:00	2012-11-26 12:20:00	Ep.5 - Il meglio della	0
50433602	362411	1	2012-11-26 12:20:00	2012-11-26 12:40:00	Ep.26 - Alessandro	0
51127845	358881	1	2012-11-26 12:40:00	2012-11-26 12:50:00	Uno speciale dedicato al	0
